物件名,路線名,駅名,駅までの距離（徒歩/分）,間取り,階,家賃,住所
 12階建 築19年,ＪＲ京葉線,東京駅,10,1DK,10,12.8,中央区八丁堀３
Grande Maison 浅草合羽橋,つくばエクスプレス,浅草駅,4,1LDK,5,13.2,台東区西浅草２
プレジリア新富町,東京メトロ有楽町線,新富町駅,3,1LDK,3,14,中央区入船３
メイクスデザイン門前仲町ＩＩＩ,東京メトロ東西線,門前仲町駅,7,1LDK,6,13.1,江東区古石場１
ジュエル京橋,ＪＲ京葉線,八丁堀駅,3,1LDK,12,14,中央区八丁堀２
ワイズ柳橋,都営浅草線,浅草橋駅,5,1DK,8,12.7,台東区柳橋２
 11階建 築11年,都営浅草線,浅草橋駅,5,1DK,2,13.5,台東区柳橋２
 9階建 築20年,東京メトロ銀座線,田原町駅,6,1DK,6,10.9,台東区元浅草４
 地下1地上13階建 築20年,東京メトロ銀座線,田原町駅,5,1DK,4,11.7,台東区元浅草４
リックアート東陽,東京メトロ東西線,木場駅,5,1DK,4,12.5,江東区東陽３
 9階建 築19年,ＪＲ総武線,浅草橋駅,4,1DK,8,12.8,台東区柳橋２
銀座レジデンス伍番館,東京メトロ有楽町線,新富町駅,6,1DK,10,13.9,中央区湊２
シュールフローレ,東京メトロ日比谷線,南千住駅,6,1LDK,9,12.1,台東区日本堤２
グレイス福嶋,都営大江戸線,新御徒町駅,1,1LDK,3,12.8,台東区台東４
メゾンＳＫＭ蔵前,都営大江戸線,蔵前駅,4,1LDK,6,13.9,台東区寿１
 11階建 築15年,ＪＲ山手線,日暮里駅,7,1LDK,7,12.4,台東区根岸２
GL蔵前,都営大江戸線,蔵前駅,1,1LDK,7,11.8,台東区駒形１
サンジャーレ浅草,東京メトロ銀座線,浅草駅,2,1LDK,5,13.9,台東区駒形１
 15階建 築8年,ＪＲ京浜東北線,上野駅,13,1LDK,9,13.9,台東区根岸３
 11階建 築17年,つくばエクスプレス,浅草駅,5,1LDK,3,13.5,台東区西浅草３
ヒラキ門前仲町,都営大江戸線,門前仲町駅,5,1LDK,3,13.8,江東区福住１
 4階建 築10年,東京メトロ半蔵門線,清澄白河駅,6,1LDK,4,8.5,江東区森下３
 15階建 築5年,都営大江戸線,蔵前駅,2,1LDK,7,14.4,台東区蔵前２
 13階建 築18年,ＪＲ山手線,上野駅,8,1LDK,7,13.8,台東区北上野１
 12階建 築20年,ＪＲ総武線,浅草橋駅,5,1DK,7,12.8,中央区日本橋馬喰町１
 12階建 築17年,ＪＲ山手線,御徒町駅,5,1DK,10,13,台東区上野１
 5階建 築5年,都営新宿線,住吉駅,5,1DK,3,12.4,江東区毛利１
レジディア新御徒町,東京メトロ銀座線,稲荷町駅,4,1DK,5,12.1,台東区元浅草１
 14階建 築14年,東京メトロ銀座線,浅草駅,8,1DK,11,13.5,台東区浅草６
日神デュオステージ浅草三筋,都営大江戸線,新御徒町駅,5,1DK,3,12,台東区三筋１
メゾンドール入谷,東京メトロ日比谷線,入谷駅,4,1DK,8,12.9,台東区北上野１
 12階建 築5年,都営浅草線,浅草橋駅,7,1LDK,11,12.5,台東区蔵前１
メインステージ元浅草,東京メトロ銀座線,稲荷町駅,7,1DK,5,10,台東区元浅草４
ネオ浅草,東京メトロ銀座線,田原町駅,4,1LDK,5,13.1,台東区雷門１
ライオンズ蔵前レジデンス,都営浅草線,蔵前駅,1,1DK,6,12.9,台東区蔵前２
 13階建 築6年,ＪＲ総武線,浅草橋駅,8,1LDK,2,12.5,台東区鳥越１
レオーネ三ノ輪,東京メトロ日比谷線,三ノ輪駅,3,1DK,2,12.5,台東区三ノ輪１
 12階建 築17年,東京メトロ日比谷線,三ノ輪駅,6,1DK,5,12.5,台東区下谷３
リビオメゾン上野松が谷,東京メトロ銀座線,稲荷町駅,10,1DK,5,12.8,台東区松が谷３
 12階建 築16年,ＪＲ常磐線,南千住駅,6,1LDK,11,11,台東区清川２
Feeth水天宮前（フィース水天宮前）,東京メトロ半蔵門線,水天宮前駅,7,1DK,5,14.8,江東区佐賀２
 11階建 築17年,ＪＲ山手線,秋葉原駅,8,1LDK,11,13.3,台東区上野５
クレイシア・ヴァースクレイシア入谷,東京メトロ日比谷線,入谷駅,6,1LDK,3,13.8,台東区竜泉２
リントゥマキ,都営浅草線,蔵前駅,6,1LDK,4,13.9,台東区鳥越２
Ａｎｇｅ　ＳＡＫＵＲＡ,ＪＲ総武線,亀戸駅,5,1LDK,2,13.5,江東区亀戸４
オーキッドレジデンス三ノ輪,東京メトロ日比谷線,三ノ輪駅,3,1LDK,3,12.8,台東区竜泉２
 3階建 築2年,東京メトロ半蔵門線,清澄白河駅,3,1LDK,2,14.9,江東区三好２
ルフォン浅草蔵前,都営浅草線,蔵前駅,3,1LDK,2,14.9,台東区浅草橋３
 10階建 築9年,東京メトロ日比谷線,三ノ輪駅,4,1LDK,8,12.9,台東区根岸５
ＣＲＥＶＩＳＴＡ南千住,東京メトロ日比谷線,南千住駅,6,1LDK,5,14,台東区日本堤２
 地下5地上11階建 築6年,つくばエクスプレス,浅草駅,6,1LDK,9,13.5,台東区千束１
 11階建 築17年,つくばエクスプレス,浅草駅,5,1LDK,3,13.5,台東区浅草３
 9階建 築6年,東京メトロ日比谷線,入谷駅,7,1LDK,7,12.65,台東区千束２
カーサ ブリリア,東京メトロ日比谷線,入谷駅,4,1LDK,6,13,台東区竜泉１
 12階建 築2年,ＪＲ総武線,浅草橋駅,3,1LDK,4,14,台東区浅草橋２
ルミーク根岸,ＪＲ山手線,鶯谷駅,4,1LDK,2,12.7,台東区根岸２
 3階建 築12年,東京メトロ東西線,南砂町駅,7,1LDK,3,10.7,江東区南砂６
GRANDE　MAISON　,都営新宿線,大島駅,3,1LDK,5,12.9,江東区大島５
パークアクシス亀戸,ＪＲ総武線,亀戸駅,6,1LDK,2,12.8,江東区亀戸１
 8階建 築11年,東京メトロ銀座線,田原町駅,5,1DK,3,12.5,台東区元浅草４
マリオンポート,東京メトロ日比谷線,人形町駅,3,1DK,2,13.8,中央区日本橋人形町２
 地下1地上13階建 築9年,ＪＲ山手線,御徒町駅,4,1DK,9,12.7,台東区台東４
ｃａｓａ　ＫＥＩＴＯ,都営浅草線,東日本橋駅,3,1DK,3,13.7,中央区東日本橋１
